ID,target,predicted_target,predicted_probability
1,1,1,0.964
2,2,2,0.614
3,1,1,0.989
4,1,2,0.594
5,2,2,0.580
6,1,1,0.944
7,1,1,0.945
8,1,1,0.607
9,1,1,0.977
11,2,2,0.699
12,2,2,0.854
13,1,1,0.650
15,1,2,0.745
16,2,1,0.580
17,1,1,0.977
18,1,2,0.842
19,2,1,0.687
20,1,1,0.905
22,1,1,0.796
23,1,1,0.634
24,1,1,0.958
25,1,1,0.974
26,1,1,0.801
27,1,1,0.845
28,1,1,0.825
29,1,1,0.875
30,2,2,0.694
31,1,1,0.709
32,1,2,0.571
33,1,1,0.604
34,1,1,0.939
35,1,1,0.714
36,2,2,0.501
37,1,2,0.559
38,2,1,0.801
39,1,1,0.739
40,1,1,0.860
41,1,1,0.816
42,1,1,0.557
43,1,1,0.703
44,1,1,0.799
45,2,2,0.598
46,1,1,0.838
47,1,1,0.871
48,1,1,0.723
49,1,1,0.885
50,1,1,0.950
51,1,1,0.777
52,1,1,0.850
53,1,1,0.927
54,1,1,0.978
55,2,2,0.667
57,2,1,0.783
58,1,1,0.607
59,1,1,0.547
60,2,2,0.839
61,1,1,0.625
62,1,1,0.957
63,2,2,0.705
64,2,2,0.851
65,1,1,0.767
66,1,1,0.864
67,1,1,0.787
68,1,1,0.763
69,2,2,0.578
70,1,1,0.831
71,1,1,0.732
72,1,1,0.977
73,1,1,0.811
74,1,1,0.529
75,2,2,0.712
76,1,1,0.925
77,2,2,0.661
79,1,1,0.839
80,1,2,0.522
81,2,1,0.885
82,1,1,0.900
83,1,1,0.790
84,1,1,0.754
85,1,1,0.850
86,1,1,0.934
87,1,1,0.730
88,2,2,0.645
89,1,1,0.712
90,2,1,0.529
91,1,1,0.982
92,1,1,0.957
93,2,1,0.941
94,1,1,0.810
95,1,1,0.893
96,2,2,0.931
98,1,1,0.766
99,1,1,0.781
101,1,1,0.812
103,1,1,0.955
104,1,1,0.918
105,1,1,0.952
106,2,1,0.806
107,2,2,0.635
108,1,1,0.716
109,1,1,0.558
110,1,1,0.772
111,1,1,0.600
112,1,2,0.618
113,1,1,0.630
114,2,2,0.515
