ID,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,own_telephone,foreign_worker,class
1,"A11",6.000000,"A34","A43",1169.000000,"A65","A75",4,"A93","A101",4,"A121",64.500000,"A143","A152",2,"A173","A192","A201",1
2,"A12",42.000000,"A32","A43",5951.000000,"A61","A73",2,"A92","A101",2,"A121",22.000000,"A143","A152",1,"A173","A191","A201",2
3,"A14",12.000000,"A34","A43",2096.000000,"A61","A74",2,"A93","A101",3,"A121",49.000000,"A143","A152",1,"A172","A191","A201",1
4,"A11",42.000000,"A32","A40",7882.000000,"A61","A74",2,"A93","A103",4,"A122",45.000000,"A143","A153",1,"A173","A191","A201",1
5,"A11",24.000000,"A33","A40",4870.000000,"A61","A73",3,"A93","A101",4,"A124",53.000000,"A143","A153",2,"A173","A191","A201",2
6,"A14",30.991453,"A32","A41",7883.750000,"A65","A73",2,"A93","A101",4,"A124",35.000000,"A143","A153",1,"A172","A192","A201",1
7,"A14",24.000000,"A32","A42",2835.000000,"A63","A75",3,"A93","A101",4,"A122",53.000000,"A143","A152",1,"A173","A191","A201",1
8,"A12",36.000000,"A32","A41",6948.000000,"A61","A73",2,"A93","A101",2,"A123",35.000000,"A143","A151",1,"A174","A192","A201",1
9,"A14",12.000000,"A32","A43",3059.000000,"A64","A74",2,"A91","A101",4,"A121",61.000000,"A143","A152",1,"A172","A191","A201",1
10,"A12",30.000000,"A34","A41",5234.000000,"A61","A71",4,"A94","A101",2,"A123",28.000000,"A143","A152",2,"A174","A191","A201",2
11,"A12",12.000000,"A32","A40",1295.000000,"A61","A72",3,"A92","A101",1,"A123",25.000000,"A143","A151",1,"A173","A191","A201",2
12,"A11",30.991453,"A32","A49",4308.000000,"A61","A72",3,"A92","A101",4,"A122",24.000000,"A143","A151",1,"A173","A191","A201",2
13,"A12",12.000000,"A32","A43",1567.000000,"A61","A73",1,"A92","A101",1,"A123",22.000000,"A143","A152",1,"A173","A192","A201",1
14,"A11",24.000000,"A34","A40",1199.000000,"A61","A75",4,"A93","A101",4,"A123",60.000000,"A143","A152",2,"A172","A191","A201",2
15,"A11",12.154321,"A32","A40",1403.000000,"A61","A73",2,"A92","A101",4,"A123",28.000000,"A143","A151",1,"A173","A191","A201",1
16,"A11",24.000000,"A32","A43",1282.000000,"A62","A73",4,"A92","A101",2,"A123",32.000000,"A143","A152",1,"A172","A191","A201",2
17,"A14",19.551351,"A34","A43",2424.000000,"A65","A75",4,"A93","A101",4,"A122",53.000000,"A143","A152",2,"A173","A191","A201",1
18,"A11",30.000000,"A30","A49",7883.750000,"A65","A72",2,"A93","A101",3,"A123",25.000000,"A141","A152",3,"A173","A191","A201",1
19,"A12",24.000000,"A32","A41",7883.750000,"A61","A75",4,"A92","A101",2,"A124",44.000000,"A143","A153",1,"A174","A192","A201",2
20,"A14",24.000000,"A32","A43",3430.000000,"A63","A75",3,"A93","A101",2,"A123",31.000000,"A143","A152",1,"A173","A192","A201",1
21,"A14",9.000000,"A34","A40",2134.000000,"A61","A73",4,"A93","A101",4,"A123",48.000000,"A143","A152",3,"A173","A192","A201",1
22,"A11",6.000000,"A32","A43",2647.000000,"A63","A73",2,"A93","A101",3,"A121",44.000000,"A143","A151",1,"A173","A191","A201",1
