id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,response
ID12401,59,F,INNER_CITY,29866.9,NO,1,YES,NO,YES,NO,NO
ID12402,34,F,SUBURBAN,12810.2,NO,3,NO,YES,YES,NO,NO
ID12403,64,F,INNER_CITY,57444.5,NO,1,NO,YES,YES,NO,NO
ID12404,51,M,TOWN,33615.4,YES,1,NO,YES,NO,YES,NO
ID12405,35,M,INNER_CITY,16479.5,YES,0,YES,NO,NO,YES,NO
ID12406,62,F,INNER_CITY,41521.6,YES,0,NO,YES,YES,YES,YES
ID12407,64,F,TOWN,51620.8,NO,2,YES,YES,YES,NO,NO
ID12408,67,F,SUBURBAN,47198.6,YES,2,NO,YES,YES,NO,NO
ID12409,20,M,TOWN,17239.5,NO,1,YES,NO,YES,NO,NO
ID12410,33,F,SUBURBAN,27712.9,NO,2,NO,YES,YES,NO,NO
ID12411,40,F,INNER_CITY,31473.9,NO,2,NO,YES,YES,YES,NO
ID12412,63,M,SUBURBAN,48770.5,YES,1,YES,YES,NO,YES,NO
ID12413,44,M,TOWN,26688.1,YES,1,NO,YES,NO,YES,NO
ID12414,58,M,SUBURBAN,32245.4,YES,3,NO,NO,NO,NO,YES
ID12415,35,M,INNER_CITY,20754.3,NO,0,NO,NO,NO,YES,NO
ID12416,39,M,INNER_CITY,34852.3,YES,1,NO,YES,NO,YES,NO
ID12417,52,M,SUBURBAN,45856.1,NO,1,NO,YES,YES,NO,NO
ID12418,63,M,SUBURBAN,48770.5,YES,1,YES,YES,NO,YES,NO
ID12419,41,M,INNER_CITY,23475.6,YES,0,YES,NO,YES,YES,NO
ID12420,38,M,TOWN,33302.8,NO,0,YES,NO,YES,YES,NO
ID12421,46,M,TOWN,43395.5,NO,1,YES,YES,YES,NO,NO
ID12422,67,F,INNER_CITY,58092,NO,2,YES,YES,YES,NO,NO
ID12423,58,F,TOWN,33204.3,NO,1,NO,NO,NO,YES,NO
ID12424,40,M,TOWN,22197.1,NO,0,YES,NO,YES,NO,NO
ID12425,64,M,SUBURBAN,59175.1,YES,1,NO,YES,YES,NO,NO
ID12426,40,M,INNER_CITY,36256.9,NO,0,NO,NO,YES,YES,NO
ID12427,52,F,TOWN,43719.5,YES,0,NO,YES,YES,NO,YES
ID12428,47,M,SUBURBAN,36599,YES,3,YES,YES,YES,NO,NO
ID12429,19,M,SUBURBAN,17986.8,YES,0,NO,NO,YES,YES,NO
ID12430,39,M,INNER_CITY,34852.3,YES,1,NO,YES,NO,YES,NO
ID12431,24,F,INNER_CITY,13864.6,YES,3,NO,YES,YES,NO,NO
ID12432,58,F,INNER_CITY,31671.3,YES,1,YES,YES,NO,YES,NO
ID12433,40,F,TOWN,34836.8,YES,1,YES,YES,YES,NO,NO
ID12434,41,F,TOWN,27757.6,NO,0,NO,YES,YES,NO,NO
ID12435,54,F,RURAL,50186.1,YES,2,NO,YES,YES,YES,NO
ID12436,24,F,INNER_CITY,7756.3,NO,0,NO,NO,NO,NO,NO
ID12437,24,M,INNER_CITY,21268.4,YES,0,NO,NO,YES,YES,NO
ID12438,25,F,SUBURBAN,23287.9,NO,0,NO,NO,YES,YES,NO
ID12439,66,M,RURAL,48346.1,YES,1,YES,YES,NO,NO,NO
ID12440,52,F,INNER_CITY,22792.3,YES,1,YES,YES,NO,NO,NO
ID12441,18,M,SUBURBAN,13700.2,NO,1,NO,YES,YES,NO,YES
ID12442,40,M,INNER_CITY,16398.8,NO,1,NO,YES,YES,NO,NO
ID12443,27,F,INNER_CITY,18158.5,NO,1,YES,NO,YES,YES,NO
ID12444,59,F,INNER_CITY,27045.1,NO,0,NO,NO,YES,NO,NO
ID12445,47,M,INNER_CITY,44658.6,NO,2,YES,YES,YES,NO,NO
ID12446,53,F,INNER_CITY,37850.6,NO,1,NO,YES,YES,NO,NO
ID12447,31,F,TOWN,22678.1,NO,1,YES,YES,YES,YES,NO
ID12448,57,F,INNER_CITY,38248.3,NO,3,YES,NO,YES,YES,YES
ID12449,49,M,INNER_CITY,41438,NO,1,NO,YES,NO,NO,NO
ID12450,34,F,RURAL,19481.3,NO,0,NO,NO,YES,YES,NO
ID12451,58,F,INNER_CITY,31671.3,YES,1,YES,YES,NO,YES,NO
ID12452,64,M,INNER_CITY,34073.8,YES,3,NO,YES,NO,YES,YES
ID12453,24,F,INNER_CITY,7756.3,NO,0,NO,NO,NO,NO,NO
ID12454,23,F,RURAL,11215.3,YES,2,YES,YES,YES,NO,NO
ID12455,44,M,INNER_CITY,38459.9,YES,0,NO,NO,NO,YES,NO
ID12456,29,M,INNER_CITY,14711.8,YES,0,NO,YES,NO,YES,YES
ID12457,60,M,SUBURBAN,50409.9,NO,2,NO,YES,YES,YES,NO
ID12458,29,M,SUBURBAN,12623.4,YES,1,YES,YES,YES,NO,YES
ID12459,66,F,RURAL,52769.9,YES,3,YES,YES,YES,NO,NO
ID12460,58,F,SUBURBAN,25468.5,NO,0,YES,NO,NO,YES,NO
ID12461,64,M,SUBURBAN,59175.1,YES,1,NO,YES,YES,NO,NO
ID12462,24,F,TOWN,19160.3,YES,1,YES,YES,YES,NO,NO
ID12463,61,M,INNER_CITY,30157.7,NO,1,YES,NO,NO,NO,NO
ID12464,60,M,SUBURBAN,37554.1,YES,2,YES,YES,YES,YES,NO
ID12465,32,F,TOWN,26325.3,YES,0,YES,NO,NO,NO,YES
ID12466,59,F,RURAL,51284.3,NO,0,YES,YES,YES,YES,YES
ID12467,41,M,INNER_CITY,23475.6,YES,0,YES,NO,YES,YES,NO
ID12468,66,M,RURAL,48346.1,YES,1,YES,YES,NO,NO,NO
ID12469,47,F,RURAL,29093.1,NO,2,YES,YES,YES,NO,YES
ID12470,52,F,INNER_CITY,22792.3,YES,1,YES,YES,NO,NO,NO
ID12471,40,M,TOWN,22197.1,NO,0,YES,NO,YES,NO,NO
ID12472,42,M,RURAL,20736.2,YES,1,YES,YES,YES,NO,NO
ID12473,20,M,TOWN,17239.5,NO,1,YES,NO,YES,NO,NO
ID12474,38,M,TOWN,33302.8,NO,0,YES,NO,YES,YES,NO
ID12475,24,M,INNER_CITY,21268.4,YES,0,NO,NO,YES,YES,NO
ID12476,41,F,TOWN,27757.6,NO,0,NO,YES,YES,NO,NO
ID12477,25,F,SUBURBAN,23287.9,NO,0,NO,NO,YES,YES,NO
ID12478,50,M,TOWN,40972.9,NO,2,YES,YES,YES,YES,NO
ID12479,44,M,SUBURBAN,18707.3,YES,0,YES,YES,YES,YES,NO
ID12480,61,F,TOWN,27756.3,YES,0,YES,YES,NO,YES,NO
ID12481,64,M,INNER_CITY,46587.9,NO,0,NO,YES,YES,NO,NO
ID12482,53,F,INNER_CITY,32184.4,YES,2,YES,NO,NO,NO,NO
ID12483,40,M,TOWN,22197.1,NO,0,YES,NO,YES,NO,NO
ID12484,43,M,SUBURBAN,15109.4,YES,0,NO,NO,YES,NO,NO
ID12485,34,F,SUBURBAN,12810.2,NO,3,NO,YES,YES,NO,NO
ID12486,24,F,INNER_CITY,7756.3,NO,0,NO,NO,NO,NO,NO
ID12487,42,M,RURAL,20736.2,YES,1,YES,YES,YES,NO,NO
ID12488,41,M,INNER_CITY,23475.6,YES,0,YES,NO,YES,YES,NO
ID12489,45,F,TOWN,37689.1,NO,1,NO,YES,YES,YES,NO
ID12490,58,F,TOWN,52662.5,YES,1,YES,YES,YES,YES,NO
ID12491,53,M,INNER_CITY,38103.4,NO,2,YES,YES,YES,NO,NO
ID12492,40,M,INNER_CITY,29414.6,YES,1,NO,YES,NO,YES,NO
ID12493,26,F,INNER_CITY,16518.6,YES,0,YES,NO,YES,NO,NO
ID12494,42,F,RURAL,28138.5,YES,0,NO,NO,YES,YES,NO
ID12495,43,F,TOWN,31273.8,NO,1,YES,YES,NO,NO,NO
ID12496,66,F,RURAL,52769.9,YES,3,YES,YES,YES,NO,NO
ID12497,23,F,RURAL,11215.3,YES,2,YES,YES,YES,NO,NO
ID12498,63,F,INNER_CITY,59805.6,YES,1,YES,YES,YES,NO,NO
ID12499,58,F,TOWN,33204.3,NO,1,NO,NO,NO,YES,NO
ID12500,53,M,INNER_CITY,38103.4,NO,2,YES,YES,YES,NO,NO
ID12501,53,M,INNER_CITY,38103.4,NO,2,YES,YES,YES,NO,NO
ID12502,56,F,TOWN,51299.3,YES,1,YES,YES,NO,NO,NO
ID12503,58,F,INNER_CITY,31671.3,YES,1,YES,YES,NO,YES,NO
ID12504,37,M,INNER_CITY,33886.4,NO,0,YES,YES,NO,NO,NO
ID12505,61,F,TOWN,30760.4,NO,2,YES,NO,YES,NO,NO
ID12506,53,M,INNER_CITY,38103.4,NO,2,YES,YES,YES,NO,NO
ID12507,38,M,TOWN,26671.6,NO,0,YES,NO,YES,YES,NO
ID12508,44,M,TOWN,26688.1,YES,1,NO,YES,NO,YES,NO
ID12509,24,M,INNER_CITY,21268.4,YES,0,NO,NO,YES,YES,NO
ID12510,51,M,TOWN,33615.4,YES,1,NO,YES,NO,YES,NO
ID12511,63,M,INNER_CITY,37930.9,YES,0,NO,YES,NO,YES,YES
ID12512,48,F,INNER_CITY,16662.5,YES,1,NO,YES,YES,NO,NO
ID12513,61,F,TOWN,30760.4,NO,2,YES,NO,YES,NO,NO
ID12514,60,M,INNER_CITY,29714.4,YES,0,YES,NO,YES,YES,NO
