StockCode,InvoiceNo
"15056BL",573891
"15056BL",576245
"15056BL",576899
"15056BL",577295
"15056BL",536989
"15056BL",539320
"15056BL",561195
"15056BL",543668
"15056BL",541485
"15056BL",547712
"15056BL",572769
"15056BL",557476
"15056BL",546412
"15056BL",538093
"15056BL",540157
"15056BL",541238
"15056BL",572887
"15056BL",539295
"15056BL",557320
"15056BL",557628
"15056BL",566718
"15056BL",564172
"15056BL",538592
"15056BL",576190
"15056BL",549101
"15056BL",575321
"15056BL",544445
"15056BL",546918
"15056BL",560579
"15056BL",536381
"15056BL",568651
"15056BL",567426
"15056BL",536974
"15056BL",566558
"15056BL",555400
"15056BL",542897
"15056BL",558351
"15056BL",567296
"15056BL",560504
"15056BL",580284
"15056BL",539642
"15056BL",550035
"15056BL",559422
"15056BL",571628
"15056BL",554036
"15056BL",543174
"15056BL",560422
"15056BL",563638
"15056BL",547722
"15056BL",553578
"15056BL",568049
"15056BL",558103
"15056BL",555650
"15056BL",562096
"15056BL",569893
"15056BL",538255
"15056BL",567095
"15056BL",569570
"15056BL",561051
"15056BL",561295
"15056BL",553691
"15056BL",570096
"15056BL",561113
"15056BL",569580
"15056BL",567626
"15056BL",541289
"15056BL",568376
"15056BL",555344
"15056BL",573275
"15056BL",560853
"15056BL",557484
"15056BL",536804
"15056BL",576323
"15056BL",558076
"15056BL",543463
"15056BL",540396
"15056BL",562534
"15056BL",570797
"15056BL",545668
"15056BL",562619
"15056BL",565851
"15056BL",573035
"15056BL",538651
"15056BL",552574
"15056BL",580727
"15056BL",572124
"15056BL",540014
"15056BL",554139
"15056BL",564256
"15056BL",575728
"15056BL",574882
"15056BL",555855
"15056BL",566079
"15056BL",571441
"15056BL",538205
"15056BL",571409
"15056BL",544062
"15056BL",581098
"15056BL",573879
"15056BL",550532
"15056BL",568417
"15056BL",566776
"15056BL",565682
"15056BL",576374
"15056BL",545032
"15056BL",567960
"15056BL",570886
"15056BL",554557
"15056BL",543309
"15056BL",558535
"15056BL",562093
"15056BL",581495
"15056BL",550196
"15056BL",569227
"15056BL",566086
"15056BL",543653
"15056BL",559016
"15056BL",557069
"15056BL",559911
"15056BL",562912
"15056BL",579792
"15056BL",547378
"15056BL",559535
"15056BL",540239
"15056BL",564743
"15056BL",563262
"15056BL",547649
"15056BL",572885
"15056BL",560711
"15056BL",558696
"15056BL",551273
"15056BL",552664
