ID,Promotion_Fee,Area_square_meter,Position,Num_of_Customers,,,,
1,1,2,1,2,,,,
2,1.5,1,1,3,,,,
3,2,1.3,1,5,,,,
4,2,1.3,1,7,,,,
5,2,1.5,0,8,,,,
6,2.3,1.5,1,10,,,,
7,2.5,2,1,17,,,,
8,2.5,2.5,1,24,,,,
9,2.4,2,0,25,,,,
10,2.6,2,0,30,,,,
min=,1,1,0,2,,,,
max=,2.6,2.5,1,30,,,,
,,,,,,,,
ID,Promotion_Fee,Area_square_meter,Position,Num_of_Customers,,,,
1,0,0.666666667,1,0,0.003,2.084,,2
2,0.3125,0,1,0.035714286,0.004,2.112,,3
3,0.625,0.2,1,0.107142857,0.123,5.444,,5
4,0.625,0.2,1,0.178571429,0.192,7.376,,7
5,0.625,0.333333333,0,0.214285714,0.24,8.72,,8
6,0.8125,0.333333333,1,0.285714286,0.35,11.8,,10
7,0.9375,0.666666667,1,0.535714286,0.567,17.876,,17
8,0.9375,1,1,0.785714286,0.8,24.4,,24
9,0.875,0.666666667,0,0.821428571,0.82,24.96,,25
10,1,0.666666667,0,1,0.99,29.72,,30
