Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,4.9270 ,3.6960 ,1.5140 ,0.2470 ,setosa
2,5.5240 ,2.8280 ,4.1290 ,1.1840 ,versicolor
3,5.1140 ,3.5210 ,1.2870 ,0.2620 ,setosa
4,5.9470 ,2.6070 ,5.2280 ,2.0380 ,virginica
5,4.8350 ,3.4400 ,1.3450 ,0.1900 ,setosa
6,4.8930 ,3.3350 ,1.4470 ,0.2250 ,setosa
7,6.3470 ,2.8050 ,5.6020 ,2.2260 ,virginica
8,6.4690 ,3.1060 ,5.5100 ,1.9420 ,virginica
9,5.5000 ,2.3000 ,4.0000 ,1.3000 ,versicolor
10,5.9190 ,2.7770 ,4.2660 ,1.3120 ,versicolor
11,7.7000 ,3.8000 ,6.7000 ,2.2000 ,virginica
12,5.0610 ,3.3150 ,1.5010 ,0.2150 ,setosa
13,6.3810 ,2.5720 ,3.7110 ,1.5010 ,versicolor
14,5.8670 ,3.0240 ,4.0190 ,1.5250 ,versicolor
15,5.7230 ,2.5210 ,4.0630 ,1.4510 ,versicolor
16,4.9600 ,3.4220 ,1.4860 ,0.2200 ,setosa
17,6.2000 ,2.9000 ,4.3000 ,1.3000 ,versicolor
18,6.4000 ,3.1000 ,5.5000 ,1.8000 ,virginica
19,5.9710 ,2.7620 ,4.3040 ,1.3330 ,versicolor
20,4.9000 ,3.1000 ,1.5000 ,0.1000 ,setosa
21,5.1010 ,3.2130 ,1.3980 ,0.2780 ,setosa
22,6.6160 ,2.9370 ,5.4970 ,1.9330 ,virginica
23,6.1580 ,3.1160 ,5.5720 ,2.0210 ,virginica
24,6.5160 ,3.3780 ,5.5730 ,1.6990 ,virginica
25,5.0790 ,3.3880 ,1.4850 ,0.2540 ,setosa
26,6.6380 ,2.9070 ,5.4030 ,1.9590 ,virginica
27,6.6910 ,2.2220 ,5.1630 ,1.3790 ,versicolor
28,6.3000 ,2.5000 ,4.9000 ,1.5000 ,versicolor
29,6.6430 ,2.8760 ,5.6000 ,1.9690 ,virginica
30,7.0290 ,3.0510 ,5.7080 ,1.9640 ,virginica
31,6.7650 ,2.9240 ,5.4680 ,2.0020 ,virginica
32,5.4090 ,2.8380 ,4.4420 ,1.3100 ,versicolor
33,5.8730 ,2.8180 ,4.2040 ,1.3550 ,versicolor
34,5.3220 ,2.7540 ,4.2270 ,1.0140 ,versicolor
35,4.5130 ,3.2240 ,1.2700 ,0.2620 ,setosa
36,6.0940 ,2.8750 ,5.6550 ,1.9970 ,virginica
37,5.8690 ,2.9500 ,4.5110 ,1.1690 ,versicolor
38,6.9030 ,2.8900 ,5.2270 ,2.1980 ,virginica
39,6.4190 ,3.1780 ,5.4900 ,2.1450 ,virginica
40,5.6730 ,2.8010 ,5.3830 ,2.1050 ,virginica
41,4.8280 ,3.1230 ,1.4690 ,0.1040 ,setosa
42,6.4370 ,3.2430 ,3.5090 ,1.3480 ,versicolor
43,7.2000 ,3.6000 ,6.1000 ,2.5000 ,virginica
44,5.7960 ,2.9380 ,4.2310 ,1.3900 ,versicolor
45,5.0800 ,3.4680 ,1.4330 ,0.1970 ,setosa
46,6.5440 ,2.9650 ,5.4780 ,2.0390 ,virginica
47,5.6090 ,3.4200 ,5.0880 ,1.8110 ,virginica
48,5.1000 ,3.5000 ,1.4000 ,0.2000 ,setosa
49,6.5330 ,2.7620 ,3.7550 ,1.3830 ,versicolor
50,5.4650 ,3.3750 ,3.7380 ,1.6410 ,versicolor
51,5.7960 ,2.6410 ,4.6690 ,1.2710 ,versicolor
52,6.6000 ,3.0000 ,4.4000 ,1.4000 ,versicolor
53,5.0470 ,3.4550 ,1.4810 ,0.2100 ,setosa
54,5.8030 ,2.6750 ,4.3400 ,1.3340 ,versicolor
55,5.3100 ,3.3680 ,1.1970 ,0.1370 ,setosa
56,5.0230 ,3.3570 ,1.5380 ,0.1890 ,setosa
57,5.7000 ,2.9000 ,4.2000 ,1.3000 ,versicolor
58,5.1040 ,3.3630 ,1.4100 ,0.2730 ,setosa
59,5.2510 ,3.2110 ,1.4400 ,0.3210 ,setosa
60,5.9460 ,2.7740 ,4.5590 ,1.4770 ,versicolor
61,6.6880 ,3.0280 ,5.4630 ,2.0030 ,virginica
62,5.0000 ,3.8200 ,1.4330 ,0.2630 ,setosa
63,6.3000 ,2.7000 ,4.9000 ,1.8000 ,virginica
64,5.1000 ,3.3000 ,1.7000 ,0.5000 ,setosa
65,6.6500 ,3.0830 ,5.6030 ,1.7680 ,virginica
66,5.9000 ,3.2000 ,4.8000 ,1.8000 ,versicolor
67,5.7370 ,2.7210 ,4.4770 ,1.4870 ,versicolor
68,5.1030 ,3.8050 ,1.5380 ,0.3260 ,setosa
69,5.6370 ,2.7290 ,4.4290 ,1.3340 ,versicolor
70,4.9600 ,3.3610 ,1.4580 ,0.2440 ,setosa
71,5.2460 ,3.3530 ,1.6220 ,0.3460 ,setosa
72,6.1350 ,2.6980 ,4.6540 ,1.4380 ,versicolor
73,5.9600 ,2.7850 ,4.2820 ,1.3310 ,versicolor
74,6.1920 ,2.8030 ,4.3240 ,1.3820 ,versicolor
75,5.9620 ,3.4460 ,5.4920 ,1.7260 ,virginica
76,6.7460 ,2.5010 ,5.4420 ,2.1200 ,virginica
77,6.6320 ,2.9210 ,5.4560 ,2.0690 ,virginica
