SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
4.927,3.696,1.514,0.247,setosa
5.524,2.828,4.129,1.184,versicolor
5.114,3.521,1.287,0.262,setosa
5.947,2.607,5.228,2.038,virginica
4.835,3.44,1.345,0.19,setosa
4.893,3.335,1.447,0.225,setosa
6.347,2.805,5.602,2.226,virginica
6.469,3.106,5.51,1.942,virginica
5.5,2.3,4.0,1.3,versicolor
5.919,2.777,4.266,1.312,versicolor
7.7,3.8,6.7,2.2,virginica
5.061,3.315,1.501,0.215,setosa
6.381,2.572,3.711,1.501,versicolor
5.867,3.024,4.019,1.525,versicolor
5.723,2.521,4.063,1.451,versicolor
4.96,3.422,1.486,0.22,setosa
6.2,2.9,4.3,1.3,versicolor
6.4,3.1,5.5,1.8,virginica
5.971,2.762,4.304,1.333,versicolor
4.9,3.1,1.5,0.1,setosa
5.101,3.213,1.398,0.278,setosa
6.616,2.937,5.497,1.933,virginica
6.158,3.116,5.572,2.021,virginica
6.516,3.378,5.573,1.699,virginica
5.079,3.388,1.485,0.254,setosa
6.638,2.907,5.403,1.959,virginica
6.691,2.222,5.163,1.379,versicolor
6.3,2.5,4.9,1.5,versicolor
6.643,2.876,5.6,1.969,virginica
7.029,3.051,5.708,1.964,virginica
6.765,2.924,5.468,2.002,virginica
5.409,2.838,4.442,1.31,versicolor
5.873,2.818,4.204,1.355,versicolor
5.322,2.754,4.227,1.014,versicolor
4.513,3.224,1.27,0.262,setosa
6.094,2.875,5.655,1.997,virginica
5.869,2.95,4.511,1.169,versicolor
6.903,2.89,5.227,2.198,virginica
6.419,3.178,5.49,2.145,virginica
5.673,2.801,5.383,2.105,virginica
4.828,3.123,1.469,0.104,setosa
6.437,3.243,3.509,1.348,versicolor
7.2,3.6,6.1,2.5,virginica
5.796,2.938,4.231,1.39,versicolor
5.08,3.468,1.433,0.197,setosa
6.544,2.965,5.478,2.039,virginica
5.609,3.42,5.088,1.811,virginica
5.1,3.5,1.4,0.2,setosa
6.533,2.762,3.755,1.383,versicolor
5.465,3.375,3.738,1.641,versicolor
5.796,2.641,4.669,1.271,versicolor
6.6,3.0,4.4,1.4,versicolor
5.047,3.455,1.481,0.21,setosa
5.803,2.675,4.34,1.334,versicolor
5.31,3.368,1.197,0.137,setosa
5.023,3.357,1.538,0.189,setosa
5.7,2.9,4.2,1.3,versicolor
5.104,3.363,1.41,0.273,setosa
5.251,3.211,1.44,0.321,setosa
5.946,2.774,4.559,1.477,versicolor
6.688,3.028,5.463,2.003,virginica
5.0,3.82,1.433,0.263,setosa
6.3,2.7,4.9,1.8,virginica
5.1,3.3,1.7,0.5,setosa
6.65,3.083,5.603,1.768,virginica
5.9,3.2,4.8,1.8,versicolor
5.737,2.721,4.477,1.487,versicolor
5.103,3.805,1.538,0.326,setosa
5.637,2.729,4.429,1.334,versicolor
4.96,3.361,1.458,0.244,setosa
5.246,3.353,1.622,0.346,setosa
6.135,2.698,4.654,1.438,versicolor
5.96,2.785,4.282,1.331,versicolor
6.192,2.803,4.324,1.382,versicolor
5.962,3.446,5.492,1.726,virginica
6.746,2.501,5.442,2.12,virginica
6.632,2.921,5.456,2.069,virginica
5.915,2.525,4.212,1.51,versicolor
5.039,3.459,1.43,0.247,setosa
6.859,3.264,5.72,2.143,virginica
6.139,2.492,4.132,1.279,versicolor
6.0,3.0,4.8,1.8,virginica
4.796,3.372,1.22,0.241,setosa
6.089,2.617,3.924,1.347,versicolor
6.537,3.311,5.813,1.939,virginica
5.577,2.678,4.623,1.384,versicolor
6.27,2.835,5.125,1.778,virginica
6.106,3.501,5.959,1.846,virginica
5.969,2.632,4.153,1.348,versicolor
4.821,3.606,1.573,0.191,setosa
6.719,3.07,5.531,2.019,virginica
6.005,2.629,4.331,1.23,versicolor
4.6,3.6,1.0,0.2,setosa
5.885,2.726,4.316,1.358,versicolor
6.55,2.958,5.532,2.05,virginica
4.702,3.19,1.249,0.33,setosa
5.847,2.789,4.337,1.312,versicolor
7.146,2.995,5.744,2.309,virginica
7.274,3.231,4.975,1.534,virginica
4.869,2.824,1.674,0.454,setosa
4.986,3.414,1.448,0.247,setosa
6.869,3.041,5.481,2.183,virginica
5.568,2.88,3.739,1.179,versicolor
6.705,2.876,5.322,2.086,virginica
5.0,3.413,1.459,0.251,setosa
4.959,3.334,1.473,0.329,setosa
5.109,3.28,1.459,0.208,setosa
5.566,3.208,4.67,1.177,versicolor
4.645,4.022,1.336,0.107,setosa
6.754,3.003,5.593,1.943,virginica
4.984,3.452,1.474,0.241,setosa
5.366,3.254,3.939,1.496,versicolor
5.022,3.328,1.471,0.226,setosa
6.182,3.216,5.636,1.992,virginica
6.393,3.039,5.533,2.027,virginica
6.0,2.7,5.1,1.6,versicolor
6.217,2.486,3.604,1.287,versicolor
6.875,2.819,5.6,2.004,virginica
6.744,2.362,4.612,1.567,versicolor
6.777,2.897,5.496,1.965,virginica
7.264,2.701,5.798,2.027,virginica
6.983,2.733,5.574,1.919,virginica
6.461,3.007,5.453,1.902,virginica
5.006,3.366,1.451,0.236,setosa
5.95,2.775,4.354,1.293,versicolor
6.8,2.8,4.8,1.4,versicolor
5.173,3.28,1.341,0.372,setosa
5.266,3.057,1.508,0.22,setosa
6.477,3.282,5.854,1.964,virginica
5.954,2.789,4.269,1.333,versicolor
6.201,2.951,4.484,1.525,versicolor
6.483,2.981,5.636,2.008,virginica
6.9,3.1,4.9,1.5,versicolor
6.615,2.961,5.529,2.021,virginica
5.354,3.435,1.283,0.273,setosa
6.339,2.997,5.663,2.012,virginica
7.154,2.713,5.297,1.927,virginica
6.7,3.1,4.4,1.4,versicolor
5.971,2.744,4.313,1.386,versicolor
6.423,2.98,5.482,2.054,virginica
5.248,3.46,1.275,0.265,setosa
5.443,2.549,4.937,1.35,versicolor
7.114,3.419,5.763,1.71,virginica
4.884,3.104,1.408,0.26,setosa
5.87,2.832,3.616,1.466,versicolor
6.408,3.072,5.662,2.022,virginica
