,business_id,relation
0,9yKzy9PApeiPPOUJEtnvkg,"['drinks', 'self-serve']"
1,ZRJwVLyzEJq1VAihDhYiow,"['food', 'Italian']"
2,6oRAC4uyJCsJl1X0WZpVSA,"['food', 'eastern']"
3,-yxfBYGB6SEqszmxJxd97A,"['dinner', 'amazing']"
4,zp713qNhx8d9KCJJnrw1xA,"['food', 'Beautiful']"
5,wNUea3IXZWD63bbOQaOH-g,"['lunch', 'great']"
6,nMHhuYan8e3cONo3PornJA,"['food', 'interesting']"
7,e9nN4XxjdHj4qtKCOPq_vg,"['lunch', 'Fresh']"
8,yc5AH9H71xJidA_J2mChLA,"['food', 'Passable']"
9,Vb9FPCEL6Ly24PNxLBaAFw,"['service', 'Bad']"
10,supigcPNO9IKo6olaTNV-g,"['atmosphere', 'nice']"
11,b5cEoKR8iQliq-yT2_O0LQ,"['dinner', 'unimpressive']"
12,tdcjXyFLMKAsvRhURNOkCg,"['drinks', 'overpriced']"
13,JhupPnWfNlMJivnWB5druA,"['drinks', 'unique/fun']"
14,wzP2yNpV5p04nh0injjymA,"['quality', 'good']"
15,qjmCVYkwP-HDa35jwYucbQ,"['lunch', 'healthy']"
16,wct7rZKyZqZftzmAU-vhWQ,"['lunch', 'special']"
17,V1nEpIRmEa1768oj_tuxeQ,"['dinner', 'wonderful']"
18,vvA3fbps4F9nGlAEYKk_sA,"['dish', 'main']"
19,3oLy0rlzRI_xiqfQHqC4_g,"['price', 'cheap']"
20,o1GIYYZJjM6nM03fQs_uEQ,"['dinner', 'celebratory']"
21,Pr9rQKypHgC_J1AfufxzIw,"['breakfast', 'Yummy']"
22,-kVXDEqGHOWKxQ3EhvFgVA,"['drinks', 'soft']"
23,qyNtVViurIcChc35mfYIEw,"['food', 'Vietnamese']"
24,umdxfhSlk67yGEi8-S-bEg,"['lunch', 'steep']"
25,puy0PzIcCgR3KWJI7llBFQ,"['food', 'best']"
26,e0vubCKi8KD8zC2C6FdbuQ,"['food', 'great']"
27,qB-qsaSnhbHCt18_AN4Quw,"['taste', 'overwhelming']"
28,aRkYtXfmEKYG-eTDf_qUsw,"['breakfast', 'fast']"
29,JuBygU4XDjqSeW9okyvbsQ,"['taste', 'pleasant']"
30,jRfdz5voj40P6WS9L54caw,"['dinner', 'free']"
31,7SO_rX1F6rQEl-5s3wZxgQ,"['food', 'exceptional']"
32,EC9WB-iVjd28B6R6KIZ8TA,"['food', 'so-so']"
33,K8pM6qQdYu5h6buRE1-_sw,"['breakfast', 'light']"
34,FCcFT610nQBVcRdY-devQA,"['drinks', 'happy']"
35,AaKlegu7gmOCD4rEESF76Q,"['dinner', 'perfect']"
36,YeDYa6tYL16CyqYvUVOtLw,"['quality', 'poor']"
37,P5uC-zfGG6yqoQDUyqyAvg,"['dinner', 'nice']"
38,0QTn4pMzKv1mnQifcP9YoQ,"['food', 'Chinese']"
39,_HTE4pOKeJC7kcxiCF9vTA,"['dish', 'Second']"
40,NNGJQF3WeIHzGzweCpZ-VA,"['food', 'bad']"
41,4meJyPOhuAKzywUJTmu2hw,"['breakfast', 'hearty']"
42,s9XNBJAZ3ZcNW5u8BRZXuw,"['dinner', 'casual']"
43,Xq9tkiHhyN_aBFswFeGLvA,"['dinner', 'large']"
44,ImghNwml8N-ncAqhXe00hg,"['food', 'great']"
45,cBpJIOrVXotDI0XAZH_k0g,"['dinner', 'late']"
46,FkHhy6kWeoJf0xJTqzRWmg,"['food', 'edible']"
47,c1yGkETheht_1vjda7G5sA,"['dinner', 'occasional']"
48,5kRug3bEienrpovtPRVVwg,"['food', 'good']"
49,LzpR_jE6VIutJ08s2cdRrw,"['food', 'good']"
50,O-Xa9GCFWI65YiBD5Jw_hA,"['food', 'fresh']"
51,vARjqeIkSNsazHltujiq4Q,"['food', 'good']"
52,Hgbxen9iKGL4AH6kKgC8YQ,"['service', 'courteous']"
53,hfl62LX14YqNpG0g0Tj6_Q,"['dinner', 'romantic']"
54,rRe2eLIQ4MQ7d6vFL26Qdg,"['price', 'reasonable']"
55,yGmdo1ENajB98iryHGoWFw,"['lunch', 'lazy']"
56,bc-lE-wGVAsUrX-kJhtY-Q,"['dinner', 'excellent']"
57,CrBsdxqOjPdnfsDxV89GJQ,"['drinks', 'fancy']"
58,m9Wqqma30o-hH2fAX7dnug,"['food', 'Good']"
59,WaO_hAunQrZ--vI308rHQA,"['food', 'Great']"
60,YEQkTCmphjr6XKPh4m93AQ,"['drinks', 'mixed']"
61,1Q_H3BLhKBymF6Se8FfZNw,"['food', 'best']"
62,qRBeZAFiId0ainBtpFSGuQ,"['food', 'better']"
63,PmPOuRvuN3CoNOi1nBj_TQ,"['lunch', 'good']"
64,F-ykHfGY9lWr12OJ_Ofy7A,"['drinks', 'mixed']"
65,0BpMvu5B9fY-KEbOuxLtFQ,"['food', 'cooked']"
66,XMRj865sZBPWCI7tx0uBWw,"['food', 'Chinese']"
67,CvRGjwCsrQs1DYYL3z8R7g,"['food', 'so-so']"
68,UI5ghIUeHYxzwSfaDVUXOA,"['dinner', 'free']"
69,YKOvlBNkF4KpUP9q7x862w,"['dinner', '8th']"
70,qkbloHdDZuHf_0wTqUGPjQ,"['lunch', 'entire']"
71,nFo_63pTr-4ZhakuaRFOCA,"['food', 'mexican']"
72,rZbHg4ACfN3iShdsT47WKQ,"['lunch', 'nice']"
73,CgHcO651uEE3aalrkm4boQ,"['quality', 'highest']"
74,sbsFamEj5wDxNAjUKrMcSw,"['breakfast', 'Good']"
75,aBjgE5pLhtz4RGGR-IWpGA,"['service', 'better']"
76,08Z_Zzp8PyEmWWpYurIO-Q,"['food', 'Great']"
77,c0RSs2KYK5Y-ZlSrNq9LyA,"['lunch', 'quick']"
78,wl51t6lT7leiX64SlkOx6g,"['food', 'great']"
79,R3UFldNkrGqOsDgD_cw6bA,"['meal', 'first']"
80,35uDzLpJlbSztgkJLtg1kw,"['food', 'prepared']"
81,NKSA0em3dHSGTyo6Eu-Waw,"['dish', 'favorite']"
82,St3jS0PnF1lulH1ggA4Jgw,"['service', 'friendly']"
83,zDfaNgSYLn-TwquB5A6AaA,"['price', 'good']"
84,NN2qs5B713vM6BDcMyrg4A,"['breakfast', 'best']"
85,ho4Te6bO2tGs56h9PF2vuA,"['food', 'SPICY']"
86,sjCRI-lCh4KLO_RYQdlEeQ,"['dish', 'delicious']"
87,uL_kqSm8ZqJ_3U88uwA8tw,"['atmosphere', 'friendly']"
88,06kfoeRs9Acj82Yl3i9p_w,"['food', 'great']"
89,SMpL3z4FLF07bRA6-y22JQ,"['dish', 'stir']"
90,oyzxIqrtzu-8sWlPhJVsLw,"['food', 'Mexican']"
91,NCbHGtOP5yJBJsPPaE3X5g,"['food', 'ethnic']"
92,cgNIBHS2mLdbTRiodAT6EQ,"['food', 'Mexican']"
93,nY2QBNMEfT3j68j-DHOGyg,"['breakfast', 'favorite']"
94,2ceeU8e3nZjaPfGmLwh4kg,"['food', 'affordable']"
95,qecLHHzAwgkkeA1bG81vmw,"['food', 'amazing']"
96,vA8T8QXh78iSXhxShLNgQA,"['food', 'Mexican']"
97,K2_Hmmo5crTYWiT_1sWnfQ,"['food', 'fast']"
98,NBwPgX7L2D-EZedgo3A-pw,"['lunch', 'small']"
99,VY_tvNUCCXGXQeSvJl757Q,"['drinks', 'cheap']"
100,4EeLblEpJc2VeBowa94YPQ,"['food', 'ethnic']"
101,Gq092IH6eZqhAXwtXcwc6A,"['food', 'Great']"
102,pfTwzep_4hRTX_jXoi38cw,"['food', 'liquid']"
103,L9UYbtAUOcfTgZFimehlXw,"['breakfast', 'first']"
104,UmhTiNOKareQDP7D9aAnKw,"['food', 'much']"
105,hBHkHYOk_E-6EgObC6MTdQ,"['breakfast', 'serving']"
106,1CNKe3H07sLu6rigOpAYsg,"['drinks', 'basic']"
