,source,target,edge
0,connie,own,decides
1,later  woman,’s distance,heard in
2,christian,then  elder,paralyzed by
3,temple,fire,set on
4,outside  cult,him,wails with
5,it,religious  awakening,'s
6,c. mackenzie,craig cast,joined
7,later craig di francia,action cast,revealed
8,sebastian  maniscalco,later paul ben cast,revealed as
9,we,just  film,tried
10,we,tests,went through
11,m global,international sales rights,circling
12,musician robbie robertson,soundtrack,supervised
13,it,original music tracks,features
14,it,reviewed  franchise,is
15,she,accidentally  mystique,injures
16,military  forces,arrest,tasked with
17,train,vuk,attacked by
18,kota eberhardt,selene  gallio,portrays
19,singer,sequel,return
20,last  which,penn,stand
21,jessica chastain,same  character,considered for
22,mauro fiore,,served as
23,filming,october,completed on
24,soundtrack,digitally  june,released
25,album,digitally  august,released
26,film,studios motion pictures,distributed by
27,it,$  million,ended
28,,,chandler
29,it,executive producer yoshimitsu banno,dedicated to executive
30,vivienne graham,former employee dr,approach former
31,zero awakens which,several monarch dr,frees
32,madison,mythological  texts,disillusioned
33,joe morton,older  dr,appears as
34,godzilla,king themselves,credited as
35,when  dougherty,when  reaction,stated
36,we,godzilla,empathizing with
37,only  mandate,monarch,was
38,ten  writers,treatment,contributed to
39,script,year,took
40,dougherty,also  filming,changed
41,film,this,became
42,it,big  dinosaurs,look like big
43,other  actors,body,perform
44,designer scott chambliss,art directors,managed
45,single,may,released on
46,tracks,bear mccreary,written by
47,score,also  mccreary,conducted by
48,first  teaser,december,released
49,theatrical  poster,april,released
